room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
6852231,1418,35905246,Entire home/apt,,Sao Paulo,SAO PAULO,Pinheiros,4,5.0,2,1.0,,102.0,,modern apartment/studio in Jardins,Apartment,2017-07-02 04:22:05.364040,-23.570544,-46.679847,0101000020E610000051A4FB39055747C0D5EDEC2B0F9237C0
2716347,1418,13900153,Entire home/apt,,Sao Paulo,SAO PAULO,Jardim Paulista,0,0.0,2,2.0,,94.0,,Nice apartment at Jardins,Apartment,2017-07-02 04:22:04.406055,-23.570439,-46.662247,0101000020E6100000E36F7B82C45447C0EA5C514A089237C0
130606,1418,635510,Entire home/apt,,Sao Paulo,SAO PAULO,Consolação,17,5.0,4,2.0,,100.0,,Duplex 2bedr/bath 100Metro/Paulista,Apartment,2017-07-02 04:21:45.575760,-23.555829,-46.660768,0101000020E6100000251FBB0B945447C01B2B31CF4A8E37C0
4125125,1418,6305688,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,1,0.0,5,3.0,,94.0,,Apartamento em centro comercial da Av. Berrini,Apartment,2017-07-02 04:21:45.565308,-23.606053,-46.693748,0101000020E61000002CD505BCCC5847C087A4164A269B37C0
5815334,1418,12109369,Entire home/apt,,Sao Paulo,SAO PAULO,Morumbi,3,5.0,3,1.0,,94.0,,Zero km em frente aoAlbert Einstein,Apartment,2017-07-02 04:21:45.562690,-23.60149,-46.718049,0101000020E610000077F69507E95B47C0FCDEA63FFB9937C0
2108727,1418,10750782,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,12,5.0,4,2.0,,94.0,,Charming 2 bedrooms in Vila Olimpia,Apartment,2017-07-02 04:21:32.629398,-23.599525,-46.684738,0101000020E61000000B2AAA7EA55747C068226C787A9937C0
8588612,1418,45200004,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,17,4.5,2,1.0,,88.0,,Loft no Itaim Bibi - Urbano Duplex,Loft,2017-07-02 04:21:32.619254,-23.58664,-46.673347,0101000020E61000000BEE073C305647C08386FE092E9637C0
4363921,1418,22651742,Entire home/apt,,Sao Paulo,SAO PAULO,Mandaqui,0,0.0,4,1.0,,88.0,,Vista única p/ Serra da Cantareira,Apartment,2017-07-02 04:21:27.250194,-23.466071,-46.632712,0101000020E6100000B4E4F1B4FC5047C0309DD66D507737C0
12128273,1418,65081600,Entire home/apt,,Sao Paulo,SAO PAULO,Bela Vista,0,0.0,2,1.0,,93.0,,Apartamento mobiliado com serviços,Apartment,2017-07-02 04:21:26.444426,-23.568477,-46.646075,0101000020E6100000B1E1E995B25247C038876BB5879137C0
3120259,1418,15851587,Entire home/apt,,Sao Paulo,SAO PAULO,Vila Mariana,0,0.0,4,2.0,,88.0,,Apartamento próximo pq ibirapuera .,Apartment,2017-07-02 04:21:26.427607,-23.596452,-46.645686,0101000020E610000016BEBED6A55247C040A20914B19837C0
10132954,1418,30472020,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,5,5.0,2,1.0,,90.0,,Charming apartment near Ibirapuera,Apartment,2017-07-02 04:21:26.422802,-23.593434,-46.651501,0101000020E6100000D9278062645347C09F55664AEB9737C0
3073928,1418,15643391,Entire home/apt,,Sao Paulo,SAO PAULO,Ermelino Matarazzo,0,0.0,2,1.0,,94.0,,Dormitório Mobiliado,Dorm,2017-07-02 04:21:24.823022,-23.488487,-46.47009,0101000020E61000009C16BCE82B3C47C06A85E97B0D7D37C0
5847328,1418,30356798,Entire home/apt,,Sao Paulo,SAO PAULO,Jabaquara,0,0.0,5,1.0,,91.0,,Casa ao lado do metrô Jabaquara,House,2017-07-02 04:21:17.866866,-23.644783,-46.644295,0101000020E6100000F8FC3042785247C04B04AA7F10A537C0
5605017,1418,29057124,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,0,0.0,2,0.0,,94.0,,Flat em Moema,Apartment,2017-07-02 04:21:17.864097,-23.599142,-46.668137,0101000020E6100000B01F6283855547C0F8A8BF5E619937C0
8087403,1418,15566016,Entire home/apt,,Sao Paulo,SAO PAULO,Moema,3,5.0,4,1.0,,88.0,,Practical and comfortable ap Moema,Apartment,2017-07-02 04:21:16.373165,-23.603214,-46.664564,0101000020E6100000AA0CE36E105547C0467D923B6C9A37C0
15506302,1418,99613593,Entire home/apt,,Sao Paulo,SAO PAULO,Vila Mariana,0,0.0,2,1.0,,88.0,,"Flat ao lado aeroporto Congonhas, IbirapueraMoema",Apartment,2017-07-02 04:21:15.292127,-23.591691,-46.647374,0101000020E6100000EE23B726DD5247C06956B60F799737C0
17751226,1418,99388794,Entire home/apt,,Sao Paulo,SAO PAULO,Cidade Dutra,0,0.0,4,1.0,,94.0,,Area privativa  proximo autódromo Interlagos,House,2017-07-02 04:21:14.096977,-23.717941,-46.701427,0101000020E610000005C4245CC85947C021753BFBCAB737C0
19604487,1418,8615672,Entire home/apt,,Sao Paulo,SAO PAULO,Pinheiros,0,0.0,4,2.0,,97.0,,"Apartamento novo, moderno e sofisticado",Apartment,2017-07-02 04:21:11.036684,-23.565321,-46.685163,0101000020E6100000F2B6D26BB35747C0F5BD86E0B89037C0
3720286,1418,18999746,Entire home/apt,,Sao Paulo,SAO PAULO,Itaim Bibi,2,0.0,2,1.0,,93.0,,Great flat Itaim w/ housekeeping ,Apartment,2017-07-02 04:21:09.082235,-23.585277,-46.674183,0101000020E61000007442E8A04B5647C0DB19A6B6D49537C0
